nis,nisn,nama_lengkap,kelas,hp,alamat,ayah,ibu,wali,jenjang_sosial,saudara_kandung,orangtua_asuh,alamat_orangtua_asuh,hp_orangtua_asuh
63411,4117320,Jacquetta Pavlovic,SD-6A,339-636-6703,94 Green Circle,Cami Jozwik,Jemie Smolan,Bing Gulvin,B,34489,Idalina Goodinson,151 Swallow Trail,421-128-4530
82646,5148518,Aurore Simonaitis,SD-2A,738-319-4443,5961 Lyons Street,Claire Sleith,Genny McPherson,Benson Hammerberg,A,66614,Susy Bridge,389 Montana Hill,696-978-8106
85037,4838600,Antonetta Ivey,SD-5B,470-710-8463,1643 Sycamore Point,Ainslee Roakes,Cheri Dennant,Mariam Emblow,D,12005,Eilis Howlett,625 Manufacturers Street,301-342-6161
62749,4079890,Nahum Westney,SD-2B,876-174-3429,714 Sherman Hill,Abby Mayze,Trudy Teresa,Aymer Craigg,A,37401,Korey Margaritelli,989 Vahlen Road,412-618-5227
27237,6609743,Vale Leist,SD-1bB,671-370-1788,6851 Prairie Rose Street,Alvie Littrell,Catina Dupree,Prescott McAnulty,C,41876,Kally Yanov,3 Northwestern Parkway,435-733-6336
92808,6390086,Rheta Lanchester,SD-1bB,609-289-9261,41611 Jana Circle,Devina Di Maggio,Dahlia Cahan,Janna Milkeham,B,66378,Chance Waby,17 Grim Point,177-921-6650
64891,9370586,Lorita Feild,SD-1bB,379-653-6984,43122 Village Way,Lorrie Cossem,Lexi Abbado,Maryellen Worcester,D,31056,Brande Francescotti,1 Homewood Trail,918-432-7066
89109,9180258,Bethena Monksfield,SD-5A,687-560-7444,65 Red Cloud Crossing,Augusta McOwan,Shaylyn Shillam,Packston Pietruschka,C,37729,Josepha Spread,770 Darwin Point,790-627-8991
94287,9203274,Corabella Oran,SD-3B,146-517-8958,94840 Tennessee Trail,Dill Guymer,Lebbie Longea,Monah Yerborn,C,30547,Nyssa Brotherhed,37597 Anderson Trail,228-498-2977
20487,2397615,Donnajean Wolfenden,SD-5A,448-823-8200,9 Dottie Avenue,Ketty Samuels,Caryn Pentland,Leroi Flarity,C,68269,Calhoun Bhatia,1 Declaration Crossing,570-697-6942
88725,5079999,Orsa Antosch,SD-3A,506-525-0776,208 Cody Avenue,Kendell Tabord,Stevy Heggman,Francine Hunting,D,23125,Janean Pinnere,8 Macpherson Way,107-871-0121
14915,9410461,Candra Szymanski,SD-6B,344-643-6117,860 Melvin Center,Rhoda Frodsham,Stuart Bevis,Osmund Wildman,D,24068,Lesya Landrean,391 Canary Road,522-666-6108
54944,3423573,Antonina Banner,SD-4A,839-273-6113,1597 Burrows Lane,Elli Bennet,Rosana Bachelor,Clemence Clist,C,15127,Gertrude Goulthorp,8 Donald Pass,126-834-7501
42288,3977042,Bette Wainwright,SD-4A,377-986-5456,648 Lukken Plaza,Corissa Daye,Kanya Gronaver,Terrell Conwell,B,17055,Jerri Grinaway,14 Prairieview Circle,198-465-1521
54471,2557126,Dita Iglesias,SD-4A,486-172-6413,70231 Morrow Junction,Sydney Ccomini,Maye Parkeson,Skipper Crane,C,62991,Albie Yelden,1 Bartillon Crossing,917-830-6574
65549,8905137,Koressa Constable,SD-5A,866-122-4367,90861 Merchant Parkway,Launce Ibert,Mata Abotson,Marlowe Bailles,C,29257,Jeromy Piatto,4 Oneill Street,870-814-7085
97801,6113452,Ignace Innman,SD-5A,730-453-0524,6299 Reindahl Road,Grannie Knath,Correy O'Keenan,Ashli Clayson,B,95562,Nestor Hacquard,72988 Elmside Point,374-743-8119
43021,8203073,Alvera Meneghelli,SD-6B,104-773-3441,32591 Thierer Court,Marlowe O' Mullane,Cully Muge,Nerte Lyal,A,23844,Tulley Glassard,41 Browning Street,205-433-0270
44839,9159205,Zacharia Moriarty,SD-2A,949-121-2882,45354 Bay Avenue,Gusella Saltsberg,Terra Briston,Hyacinthie Tomkinson,D,20240,Terri Gainsford,25874 Farmco Road,667-274-3033
12942,7531129,Gerri Uccelli,SD-2A,683-984-4441,372 Scoville Park,Flor Davidavidovics,Milli Innot,Field Ege,A,70256,Marika Jubb,444 Stone Corner Plaza,946-751-1607
95650,5524875,Alic Sancto,SD-5A,843-963-2619,58687 Arapahoe Avenue,Oliviero Chellenham,Hedwiga Abbati,Phebe Stutard,B,78740,Dominica Moraleda,692 Barnett Parkway,402-756-2463
74094,9372346,Cary Evitt,SD-1A,645-449-5274,004 Derek Place,Lavinie Broadnicke,Alfonso Kern,Tye Butten,C,27604,Ivar Pfeuffer,92680 Aberg Way,197-989-8553
19211,9811922,Bernardine Shwenn,SD-5B,382-737-6058,26 Pankratz Alley,Cherilynn Longshaw,Ninetta Petz,Fernanda Hawkslee,A,29308,Bone Verdun,38 Fordem Court,643-863-6202
61509,7660502,Julian Mateev,SD-2A,816-975-2599,6119 Fisk Center,Ambrosius Geram,Kristyn Bleakley,Barris Rodenhurst,D,58159,Ring Mardlin,7 Ronald Regan Avenue,516-945-1184
60767,8331793,Bobbie Kettlestringe,SD-4A,254-149-3774,268 Schmedeman Pass,Ashla Dimmick,Waldo Twitchings,Elizabeth Knutsen,C,96725,Rora Seatter,13 Mallard Avenue,583-409-2505
97941,9821579,Reyna Wiggett,SD-2A,714-995-2648,6486 Haas Park,Marice Torra,Cecelia Frangello,Riva Leate,C,93184,Thorn Easman,007 Springs Junction,310-924-3807
68667,9511556,Lin Bonson,SD-3A,581-619-2260,19923 Lunder Place,Lilyan Brettelle,Oswald Bazek,Alic Tidgewell,D,43196,Sherilyn Sansam,0079 Anniversary Lane,597-312-1927
44126,1257688,Graehme Santer,SD-5B,982-557-9838,1 Cambridge Place,Aloysius Copyn,Welch Nesterov,Katrinka Latta,A,14721,Emmeline Handscomb,653 Hanson Place,127-943-9921
87760,3116545,Yanaton Dany,SD-6A,418-189-0116,1888 Kropf Hill,Caesar Edmands,Darice Beaze,Jackelyn Aindrais,D,42481,Brooke Frick,25509 Dryden Drive,530-252-1583
57299,1941969,Quinn Blasing,SD-4B,816-367-9866,5 Bunker Hill Place,Locke Secrett,Clemmy Fullwood,Dale Beekmann,A,69939,Saw Rishworth,89 Vidon Circle,337-758-7825
36790,9456237,Esme Marven,SD-4B,630-633-5324,21346 Waubesa Park,Burton Lightfoot,Ellette Bourne,Hedwiga Stenson,A,33271,Filberto Spadari,572 Basil Drive,636-568-5512
42367,5196747,Vin Vynarde,SD-3A,788-943-3122,94423 Straubel Avenue,Dillie Pattullo,Mabelle Gabrieli,Mychal Kolushev,B,90276,Minna Kindall,86 Manitowish Hill,469-171-2655
49544,5899553,Merna Maevela,SD-6A,234-337-8675,2586 Redwing Lane,Sherman Kolyagin,Donielle Clara,Lorenzo Mathiot,D,25466,Court Villalta,9902 Anzinger Plaza,415-341-1517
89884,1940226,Winston Ellsom,SD-1bB,634-707-4661,56 Carey Crossing,Rory Ingold,Thomasin Bumfrey,Aretha Kepe,C,46942,Dunn Robrow,6 Monterey Way,412-144-9200
31024,4958271,Phyllis Baxendale,SD-4B,646-388-3222,000 Paget Trail,Verla Pakeman,Daniele Macguire,Jeni Chivrall,A,56132,Harri Seeney,9562 Gulseth Parkway,251-749-2440
71368,6706888,Kimberli Stolberger,SD-1bB,881-374-1034,048 Shasta Junction,Sukey Gusney,Midge Ruppelin,Jerrine Stadding,D,68067,Demetrius Drabble,611 Redwing Center,366-334-7348
39026,7654986,Keir Steart,SD-3A,150-358-5831,46 Kim Plaza,Julie Axelbey,Priscella Drage,Mozelle Lawey,B,85596,Deonne Eathorne,642 Chive Circle,712-827-9134
60297,2954859,Rayna Aukland,SD-2A,684-635-9995,44 Del Sol Way,Faythe Conrad,Bobbie Faughny,Hewe Stolz,C,87301,Amanda Cadding,977 Nevada Place,692-295-6978
59444,4133742,Michelina Peart,SD-1bB,614-642-1349,9383 Meadow Ridge Hill,Talya Schoenrock,Anetta Collop,Izaak Dalmon,C,68519,Tess Hartburn,56 Dawn Park,754-792-2952
77051,4417833,Carmina Blew,SD-2A,421-784-0935,6808 Bashford Alley,Coletta Topling,Hunter Bibby,Margaretha Paulmann,A,85672,Kristen Rival,835 Park Meadow Parkway,206-500-8197
37074,9997286,Garth Brosio,SD-2B,304-229-5049,8629 Shoshone Circle,Gretchen Gregore,Hendrik Tarzey,Ambros Camamill,A,46082,Emmott Botwright,4 Oak Valley Park,288-519-1592
30548,5132256,Melli Mc Caughen,SD-3B,676-100-4437,43579 Montana Circle,Giacinta Linnett,Lancelot Peskin,Kennie Britt,D,74625,Antonietta Tersay,982 Hanover Drive,836-273-2302
85101,7874570,Latia Tankard,SD-1bB,575-234-2657,50909 Sage Parkway,Scotti Rogge,York Bowdery,Byrann Arundale,C,83288,Bernadine Murphy,499 Debra Road,335-737-2621
72989,3589352,Mei Backwell,SD-5B,544-865-9167,59358 Hoard Drive,Yorker O'Hannigan,Celestine Pedrazzi,Cly Mackison,B,12436,Corrianne Gowdridge,483 Manufacturers Avenue,914-227-2921
95096,7976366,Barri Merriment,SD-6A,828-997-4450,7301 Kedzie Way,Georgianne Rickson,Janaye Stuckey,Meade Mungham,C,74366,Nicolle Cratere,58617 Northview Place,471-282-2954
86563,9040987,Jazmin Hurich,SD-5B,433-942-3798,27922 Annamark Hill,Gill Marxsen,Leland Iiannoni,Mella Dudman,B,83181,Russell Wais,6403 Service Plaza,501-711-1499
58158,5162054,Horace Radenhurst,SD-2A,757-457-9290,7087 Sunfield Circle,Davida Stanger,Dorotea Eastope,Angelique Yakunikov,A,88847,Rosabella Emanson,3656 Saint Paul Trail,681-777-1507
30556,3487923,Tara Longstaffe,SD-6A,960-240-6134,9651 Scoville Street,Casi Turri,Alaster Reckless,Murial Gelling,D,96540,Isiahi Kiehne,744 Reindahl Point,387-145-8762
84694,1656526,Adolpho Josefsen,SD-3B,611-942-1560,79 Schurz Terrace,Dasi Puttergill,Prince Rotge,Shanan Drayn,D,85502,Casar Chart,34 West Avenue,308-531-5302
